"id","text"
"dark-patterns-buster-0","Explore"
"dark-patterns-buster-1","Explore"
"dark-patterns-buster-4","Plus"
"dark-patterns-buster-5","Plus"
"dark-patterns-buster-6","Login"
"dark-patterns-buster-7","Login"
"dark-patterns-buster-8","Become a Seller"
"dark-patterns-buster-9","Become a Seller"
"dark-patterns-buster-12","More"
"dark-patterns-buster-13","More"
"dark-patterns-buster-16","Cart"
"dark-patterns-buster-17","Cart"
"dark-patterns-buster-18","Electronics"
"dark-patterns-buster-19","Electronics"
"dark-patterns-buster-20","TVs & Appliances"
"dark-patterns-buster-21","TVs & Appliances"
"dark-patterns-buster-22","Men"
"dark-patterns-buster-23","Men"
"dark-patterns-buster-24","Women"
"dark-patterns-buster-25","Women"
"dark-patterns-buster-26","Baby & Kids"
"dark-patterns-buster-27","Baby & Kids"
"dark-patterns-buster-28","Home & Furniture"
"dark-patterns-buster-29","Home & Furniture"
"dark-patterns-buster-30","Sports, Books & More"
"dark-patterns-buster-31","Sports, Books & More"
"dark-patterns-buster-32","Flights"
"dark-patterns-buster-33","Flights"
"dark-patterns-buster-34","Offer Zone"
"dark-patterns-buster-35","Offer Zone"
"dark-patterns-buster-36","Filters"
"dark-patterns-buster-37","Filters"
"dark-patterns-buster-38","PICK A CATEGORY"
"dark-patterns-buster-39","PICK A CATEGORY"
"dark-patterns-buster-40","Mobiles & Accessories"
"dark-patterns-buster-41","Mobiles & Accessories"
"dark-patterns-buster-42","Mobiles"
"dark-patterns-buster-43","Mobiles"
"dark-patterns-buster-44","Mobile Skins"
"dark-patterns-buster-45","Mobile Skins"
"dark-patterns-buster-46","Wall Chargers"
"dark-patterns-buster-47","Wall Chargers"
"dark-patterns-buster-48","Mobiles Accessories Combos"
"dark-patterns-buster-49","Mobiles Accessories Combos"
"dark-patterns-buster-50","Plain Cases & Covers"
"dark-patterns-buster-51","Plain Cases & Covers"
"dark-patterns-buster-52","Show 9 more"
"dark-patterns-buster-53","Show 9 more"
"dark-patterns-buster-54","Sunglasses"
"dark-patterns-buster-55","Sunglasses"
"dark-patterns-buster-56","Audio & Video"
"dark-patterns-buster-57","Audio & Video"
"dark-patterns-buster-58","Vas"
"dark-patterns-buster-59","Vas"
"dark-patterns-buster-60","Automation & Robotics"
"dark-patterns-buster-61","Automation & Robotics"
"dark-patterns-buster-62","Show 31 more categories"
"dark-patterns-buster-63","Show 31 more categories"
"dark-patterns-buster-64","Showing 1 – 40 of 73,020 results for """
"dark-patterns-buster-65","Showing 1 – 40 of 73,020 results for """
"dark-patterns-buster-66","google"
"dark-patterns-buster-67","google"
"dark-patterns-buster-68",""""
"dark-patterns-buster-69",""""
"dark-patterns-buster-70","Sort By"
"dark-patterns-buster-71","Sort By"
"dark-patterns-buster-72","Relevance"
"dark-patterns-buster-73","Relevance"
"dark-patterns-buster-74","Popularity"
"dark-patterns-buster-75","Popularity"
"dark-patterns-buster-76","Price -- Low to High"
"dark-patterns-buster-77","Price -- Low to High"
"dark-patterns-buster-78","Price -- High to Low"
"dark-patterns-buster-79","Price -- High to Low"
"dark-patterns-buster-80","Google 30W - 5A ,USB-C,Power Adaptor for Google devices"
"dark-patterns-buster-81","Google 30W - 5A ,USB-C,Power Adaptor for Google devices"
"dark-patterns-buster-82","White"
"dark-patterns-buster-83","White"
"dark-patterns-buster-84","4.5"
"dark-patterns-buster-85","4.5"
"dark-patterns-buster-86","(26,121)"
"dark-patterns-buster-87","(26,121)"
"dark-patterns-buster-88","₹2,199"
"dark-patterns-buster-89","₹2,199"
"dark-patterns-buster-90","Google Chromecast with TV (HD) Media Streaming Device"
"dark-patterns-buster-91","Google Chromecast with TV (HD) Media Streaming Device"
"dark-patterns-buster-92","White"
"dark-patterns-buster-93","White"
"dark-patterns-buster-94","4.5"
"dark-patterns-buster-95","4.5"
"dark-patterns-buster-96","(823)"
"dark-patterns-buster-97","(823)"
"dark-patterns-buster-98","₹3,999"
"dark-patterns-buster-99","₹3,999"
"dark-patterns-buster-100","₹"
"dark-patterns-buster-101","₹"
"dark-patterns-buster-102","4,499"
"dark-patterns-buster-103","4,499"
"dark-patterns-buster-104","11% off"
"dark-patterns-buster-105","11% off"
"dark-patterns-buster-106","Add to Compare"
"dark-patterns-buster-107","Add to Compare"
"dark-patterns-buster-108","Google Pixel 7a (Charcoal, 128 GB)"
"dark-patterns-buster-109","Google Pixel 7a (Charcoal, 128 GB)"
"dark-patterns-buster-110","8 GB RAM"
"dark-patterns-buster-111","8 GB RAM"
"dark-patterns-buster-112","4.1"
"dark-patterns-buster-113","4.1"
