iter	MultiClass
0	1.807366038
1	1.642753316
2	1.521249516
3	1.401187101
4	1.305163516
5	1.222884996
6	1.157325238
7	1.095057068
8	1.04730132
9	1.004059064
10	0.9656591286
11	0.9326240146
12	0.9019829368
13	0.8728444611
14	0.8462491638
15	0.8230186174
16	0.8024649797
17	0.7819590996
18	0.7630938706
19	0.7412389006
20	0.7241242997
21	0.7086346789
22	0.6961652367
23	0.6851378375
24	0.671053759
25	0.6641736357
26	0.6533674392
27	0.6421100964
28	0.630565153
29	0.6238472459
30	0.6139741275
31	0.6064453014
32	0.5996046936
33	0.59272338
34	0.5855906302
35	0.5791556661
36	0.5720589783
37	0.5665485029
38	0.5610767613
39	0.5563912865
40	0.5517108883
41	0.5479028505
42	0.5457732323
43	0.542678221
44	0.53914275
45	0.5337911206
46	0.5298422289
47	0.5256743204
48	0.5214050721
49	0.5183086948
50	0.5152198006
51	0.5127985176
52	0.5103093299
53	0.5075806059
54	0.5035302573
55	0.5016934436
56	0.4988620816
57	0.4960820331
58	0.4933630335
59	0.48996597
60	0.4868162303
61	0.4845167505
62	0.4822819539
63	0.480621352
64	0.4776151605
65	0.4760925896
66	0.4738628982
67	0.4709383989
68	0.4686870079
69	0.4667547847
70	0.4649576442
71	0.4629220154
72	0.46193556
73	0.4591069391
74	0.4571045506
75	0.4547445175
76	0.4523964036
77	0.4500914538
78	0.447861967
79	0.4457559552
80	0.4441344027
81	0.4422329184
82	0.4400285978
83	0.4384866714
84	0.4368455889
85	0.4353921766
86	0.4329655191
87	0.4316347666
88	0.4304459044
89	0.4291153239
90	0.4274507107
91	0.4252694152
92	0.4232917162
93	0.422354087
94	0.4211396195
95	0.4202310117
96	0.4193907576
97	0.4179661339
98	0.4158441948
99	0.4134859434
100	0.4120731175
101	0.4110966623
102	0.4096217145
103	0.4075474419
104	0.4061761346
105	0.4051330589
106	0.4035863178
107	0.4029239998
108	0.4014631701
109	0.4003003387
110	0.3990142399
111	0.3982554033
112	0.3973439267
113	0.3967621258
114	0.3959166616
115	0.3945983937
116	0.3939529095
117	0.3932833827
118	0.391237827
119	0.3904507245
120	0.3893353633
121	0.3881161682
122	0.3869907835
123	0.3856589606
124	0.3850950762
125	0.3840066905
126	0.3830770844
127	0.3817676479
128	0.3807299337
129	0.3790253375
130	0.3784745215
131	0.3778220182
132	0.3769276852
133	0.3763426037
134	0.3756304597
135	0.3744133645
136	0.3736454214
137	0.3729541481
138	0.371153304
139	0.3702266414
140	0.3690885974
141	0.3679884683
142	0.3669389612
143	0.3653241363
144	0.3646174702
145	0.3639258775
146	0.3624541074
147	0.3619431319
148	0.361312006
149	0.360468015
150	0.3596104619
151	0.3585886123
152	0.3569617471
153	0.3560889288
154	0.3551184811
155	0.353865195
156	0.3524747424
157	0.3518019107
158	0.3507114075
159	0.3501610047
160	0.3493483313
161	0.3488263409
162	0.3477391398
163	0.3469994697
164	0.3464707918
165	0.3456343718
166	0.3445585223
167	0.3433913634
168	0.3426585045
169	0.3419838359
170	0.3414093137
171	0.3404287832
172	0.3400176938
173	0.3392484464
174	0.3389381263
175	0.3384029158
176	0.3379257763
177	0.3376761711
178	0.3369016488
179	0.3364433865
180	0.3360158809
181	0.3351455004
182	0.3346920539
183	0.3344147717
184	0.3337536106
185	0.3327600141
186	0.3320983858
187	0.3314061607
188	0.3307452894
189	0.3303742312
190	0.3300710247
191	0.3295633883
192	0.3289018897
193	0.3283040134
194	0.3270719317
195	0.3265707231
196	0.3261614603
197	0.3253680103
198	0.3250503811
199	0.3244356156
200	0.3241255094
201	0.3237503016
202	0.32344205
203	0.3227909419
204	0.3222827549
205	0.3213573008
206	0.320625377
207	0.3202039735
208	0.3196208671
209	0.3189213447
210	0.3186867555
211	0.3184579979
212	0.3181562934
213	0.3174490486
214	0.3165085923
215	0.3162489707
216	0.3160105761
217	0.3151949773
218	0.3148843396
219	0.3146526694
220	0.3144161396
221	0.3141911518
222	0.313851979
223	0.3130431769
224	0.3126379177
225	0.3118745098
226	0.3115064261
227	0.3110695592
228	0.3109296727
229	0.3106247839
230	0.3103240683
231	0.3095576146
232	0.3087578763
233	0.3085730703
234	0.308147687
235	0.3077740329
236	0.3074040196
237	0.307243665
238	0.3065097773
239	0.3062116188
240	0.3056205569
241	0.3044697755
242	0.3041719867
243	0.3039705047
244	0.3033359029
245	0.3029066604
246	0.3021617634
247	0.3017818387
248	0.301466442
249	0.3012814615
250	0.301069683
251	0.3002911515
252	0.2998699316
253	0.2995332034
254	0.2986708673
255	0.2984695655
256	0.2981366645
257	0.2978763833
258	0.2973803158
259	0.2967677304
260	0.2963755099
261	0.2961527196
262	0.2957588452
263	0.2953030184
264	0.2950064525
265	0.2946885535
266	0.2944172088
267	0.2933851142
268	0.2928556232
269	0.2922530935
270	0.291883466
271	0.2915000629
272	0.2913300803
273	0.2908060452
274	0.2903210413
275	0.2899858571
276	0.2897156967
277	0.2894973242
278	0.2890039885
279	0.2888244051
280	0.2885473156
281	0.2883653707
282	0.2880656681
283	0.2878692105
284	0.2875869076
285	0.2874788872
286	0.2873313523
287	0.2872150126
288	0.2870644734
289	0.2866182749
290	0.2863773269
291	0.2856635493
292	0.2852827732
293	0.2851789952
294	0.2850612173
295	0.2846699962
296	0.284534005
297	0.2843437704
298	0.284029157
299	0.2838257858
300	0.2835517608
301	0.2833872134
302	0.2831612887
303	0.2828106132
304	0.2825960261
305	0.2823912005
306	0.2821841393
307	0.2815882745
308	0.2814365303
309	0.2809861452
310	0.2806906181
311	0.2805520146
312	0.2802428064
313	0.2799922443
314	0.2792842168
315	0.2791876088
316	0.2789290894
317	0.278248057
318	0.2778986528
319	0.2772716776
320	0.2771781479
321	0.2769077575
322	0.276675911
323	0.2764690265
324	0.2760528987
325	0.2754934912
326	0.2750025187
327	0.274418357
328	0.2740483322
329	0.273658662
330	0.2730536904
331	0.2727033137
332	0.2722359429
333	0.2718417561
334	0.2714533129
335	0.2712177482
336	0.2707165864
337	0.2705548898
338	0.2704475932
339	0.269969981
340	0.2696502117
341	0.2691160939
342	0.2689908846
343	0.2687941834
344	0.268600421
345	0.26813754
346	0.2676877793
347	0.2674290306
348	0.2672429088
349	0.2669987576
350	0.2667329225
351	0.2665462777
352	0.2662409377
353	0.2661607139
354	0.2659210092
355	0.2654249686
356	0.265302155
357	0.2648737882
358	0.2647640976
359	0.2645594376
360	0.2644449327
361	0.2643436453
362	0.2640620005
363	0.2639809004
364	0.2637035412
365	0.2631531439
366	0.2630532913
367	0.2628660056
368	0.2627134071
369	0.2623072473
370	0.2617458627
371	0.2609215922
372	0.2607919015
373	0.260327722
374	0.2602108134
375	0.2599308672
376	0.2596969003
377	0.2594905569
378	0.2591118197
379	0.2588285663
380	0.2585775438
381	0.2582911056
382	0.2582166345
383	0.2579079194
384	0.2577869749
385	0.2576929315
386	0.2574920705
387	0.2572049067
388	0.2570335874
389	0.2569482106
390	0.2567893192
391	0.2565382811
392	0.2563796847
393	0.256053576
394	0.255835383
395	0.2555271747
396	0.2553185338
397	0.2550323684
398	0.2548283417
399	0.2545737543
400	0.254438692
401	0.254184959
402	0.2540761374
403	0.2537231359
404	0.2536491452
405	0.2535260253
406	0.2533161247
407	0.2530425383
408	0.2528153911
409	0.2525987326
410	0.2523946932
411	0.2521887639
412	0.2518443683
413	0.2514189816
414	0.2511567978
415	0.2510710529
416	0.2509399474
417	0.2506732643
418	0.2504227277
419	0.2502039513
420	0.2497187413
421	0.2493513325
422	0.2492254474
423	0.2490518394
424	0.2489993539
425	0.2487342571
426	0.2484226807
427	0.2482489729
428	0.248115143
429	0.2475389156
430	0.2474672404
431	0.2473966127
432	0.2471041826
433	0.2469128948
434	0.2468143452
435	0.2467317003
436	0.2463591251
437	0.2461989106
438	0.2459068393
439	0.2455615644
440	0.2452984215
441	0.2451974732
442	0.2449598256
443	0.2448650373
444	0.2447905992
445	0.2446448122
446	0.2442197217
447	0.2440992584
448	0.243965011
449	0.2437519815
450	0.2435421751
451	0.2434616986
452	0.2432175593
453	0.2430763081
454	0.2429352397
455	0.2428420741
456	0.2425287887
457	0.2423735743
458	0.2423311829
459	0.242218992
460	0.2421488949
461	0.2418176884
462	0.2415806187
463	0.2412909597
464	0.2411695016
465	0.2409210312
466	0.2406152521
467	0.2403954363
468	0.2402955731
469	0.2401120967
470	0.2399953591
471	0.2399385871
472	0.2395639454
473	0.2393871413
474	0.2392739874
475	0.2391516109
476	0.2390157474
477	0.2389728472
478	0.2387427883
479	0.2386381932
480	0.2385497165
481	0.2383970743
482	0.2383198989
483	0.2382548911
484	0.2378939726
485	0.2376611887
486	0.2375958856
487	0.2370847549
488	0.2369781043
489	0.2367435515
490	0.2364648995
491	0.2360055139
492	0.235756853
493	0.2356685578
494	0.2355502539
495	0.2354727739
496	0.2349024989
497	0.2347130337
498	0.2346023217
499	0.2342920367
500	0.2342216104
501	0.2340019881
502	0.2339649724
503	0.2337946035
504	0.2335843382
505	0.2333687017
506	0.233240061
507	0.2329570407
508	0.2328857264
509	0.2327529533
510	0.2326013434
511	0.2325397114
512	0.2323449914
513	0.2321381546
514	0.2320595741
515	0.2317895317
516	0.2316351868
517	0.2315431315
518	0.2314931528
519	0.2314465024
520	0.2311964282
521	0.2310737579
522	0.2308168086
523	0.23074588
524	0.2305407662
525	0.2304363813
526	0.2303684902
527	0.2302156538
528	0.2298298845
529	0.229687535
530	0.2295687775
531	0.2294156855
532	0.2292142329
533	0.2289913938
534	0.2289109434
535	0.2287806127
536	0.2286478003
537	0.2285763309
538	0.2285143984
539	0.2284486078
540	0.2282938166
541	0.2278470228
542	0.2276842761
543	0.2275478179
544	0.2274444429
545	0.2271788764
546	0.2271107382
547	0.2270337185
548	0.2267817495
549	0.2265643859
550	0.2260659323
551	0.225937276
552	0.2257084688
553	0.2255043387
554	0.2252836284
555	0.2252169584
556	0.2250776233
557	0.224849482
558	0.2246148085
559	0.2244330878
560	0.2243347264
561	0.2242653204
562	0.2239041732
563	0.2236848497
564	0.22358947
565	0.2234619883
566	0.2234020085
567	0.223265391
568	0.2230744736
569	0.2229569583
570	0.2227164759
571	0.2226033405
572	0.2225123595
573	0.2223008122
574	0.2221760691
575	0.2220507591
576	0.2219951894
577	0.2218895951
578	0.2217286575
579	0.2213978372
580	0.221112905
581	0.2209652972
582	0.2207958754
583	0.2207340107
584	0.2206806253
585	0.2204187226
586	0.2203313567
587	0.2201897027
588	0.2200546781
589	0.2199226421
590	0.2197862723
591	0.2196575645
592	0.2195188054
593	0.2194363666
594	0.219262722
595	0.219185802
596	0.2191424676
597	0.2191020619
598	0.2189473345
599	0.2188336898
600	0.2187169278
601	0.2186229677
602	0.2185128009
603	0.2182695358
604	0.218120458
605	0.2180174624
606	0.2178438246
607	0.217744193
608	0.2174007572
609	0.2173536547
610	0.2172344315
611	0.2171543901
612	0.2169452943
613	0.2167811613
614	0.2166671161
615	0.2166037557
616	0.2163336059
617	0.2162452709
618	0.2161479547
619	0.2161193244
620	0.2160223348
621	0.2156289062
622	0.2155322694
623	0.2154247818
624	0.2153549938
625	0.2152979078
626	0.2150193483
627	0.2146434761
628	0.214602078
629	0.2143224375
630	0.2141351957
631	0.214009527
632	0.2139794594
633	0.2139092416
634	0.2138536216
635	0.2137319104
636	0.2135474828
637	0.2134072717
638	0.2131643058
639	0.2130509455
640	0.2127726357
641	0.2126263398
642	0.2124734391
643	0.2122048264
644	0.212088909
645	0.2119568888
646	0.2117162104
647	0.2116229036
648	0.2115605687
649	0.2114633372
650	0.2111628972
651	0.2110000355
652	0.2107439788
653	0.2106407657
654	0.2102754433
655	0.2100176377
656	0.209909336
657	0.209760932
658	0.2096804406
659	0.2096312345
660	0.2093872936
661	0.2092315196
662	0.2091514071
663	0.2091172521
664	0.2090807286
665	0.2088544601
666	0.20875512
667	0.2086150533
668	0.2084477881
669	0.2083678717
670	0.2081269577
671	0.208038699
672	0.2079067846
673	0.2078185312
674	0.2077294019
675	0.2076457919
676	0.2075277113
677	0.2074616609
678	0.2073495948
679	0.2068896783
680	0.2067338386
681	0.2066583092
682	0.2065775843
683	0.2064688312
684	0.2064124768
685	0.2063353362
686	0.2063225941
687	0.2062833899
688	0.2062227009
689	0.2061750512
690	0.2061387208
691	0.2060100069
692	0.2058667662
693	0.2058151025
694	0.2056587353
695	0.2054513424
696	0.2053580606
697	0.2052902608
698	0.2051926201
699	0.2051127854
700	0.2050016862
701	0.204770458
702	0.2047045673
703	0.2046644318
704	0.2045082453
705	0.2044523636
706	0.2043296418
707	0.2042841288
708	0.2041850874
709	0.2040325861
710	0.2038629699
711	0.2038180237
712	0.2037438728
713	0.2036270395
714	0.203566281
715	0.2032767906
716	0.2032060713
