iter	Passed	Remaining
0	62	62518
1	75	37835
2	89	29776
3	107	26887
4	120	23959
5	135	22379
6	149	21164
7	166	20585
8	183	20243
9	198	19608
10	218	19600
11	230	18951
12	247	18781
13	264	18618
14	282	18536
15	298	18345
16	315	18242
17	335	18294
18	350	18112
19	369	18084
20	388	18091
21	407	18107
22	426	18100
23	443	18055
24	456	17817
25	473	17731
26	490	17689
27	508	17653
28	526	17630
29	547	17692
30	565	17664
31	585	17725
32	603	17673
33	620	17620
34	637	17564
35	655	17564
36	671	17468
37	687	17396
38	702	17312
39	719	17276
40	739	17300
41	758	17294
42	773	17205
43	792	17225
44	810	17204
45	834	17309
46	854	17329
47	872	17312
48	888	17237
49	903	17173
50	921	17138
51	939	17134
52	956	17087
53	973	17057
54	990	17025
55	1011	17044
56	1029	17037
57	1047	17006
58	1064	16982
59	1082	16965
60	1100	16946
61	1121	16965
62	1140	16966
63	1159	16956
64	1179	16966
65	1198	16958
66	1211	16875
67	1227	16829
68	1244	16797
69	1264	16806
70	1282	16779
71	1301	16774
72	1322	16794
73	1341	16787
74	1355	16722
75	1376	16730
76	1394	16710
77	1411	16690
78	1429	16668
79	1445	16623
80	1462	16593
81	1480	16575
82	1497	16545
83	1517	16553
84	1537	16555
85	1556	16538
86	1573	16517
87	1591	16496
88	1609	16470
89	1627	16454
90	1646	16442
91	1663	16413
92	1680	16384
93	1698	16369
94	1714	16335
95	1731	16309
96	1749	16288
97	1767	16269
98	1786	16263
99	1806	16260
100	1825	16253
101	1845	16251
102	1866	16254
103	1889	16281
104	1915	16327
105	1929	16274
106	1941	16206
107	1956	16159
108	1975	16147
109	1994	16140
110	2009	16092
111	2027	16078
112	2043	16040
113	2060	16012
114	2078	15994
115	2094	15963
116	2110	15927
117	2126	15894
118	2144	15874
119	2161	15850
120	2178	15824
121	2197	15817
122	2214	15790
123	2229	15747
124	2248	15739
125	2266	15723
126	2284	15701
127	2302	15687
128	2322	15678
129	2338	15646
130	2354	15616
131	2371	15596
132	2390	15580
133	2406	15554
134	2423	15525
135	2439	15497
136	2457	15480
137	2474	15454
138	2490	15424
139	2511	15424
140	2533	15436
141	2553	15426
142	2570	15402
143	2587	15384
144	2606	15369
145	2625	15354
146	2643	15342
147	2661	15322
148	2677	15292
149	2696	15278
150	2716	15274
151	2732	15242
152	2750	15228
153	2770	15217
154	2791	15219
155	2812	15214
156	2826	15177
157	2843	15152
158	2859	15126
159	2879	15117
160	2896	15094
161	2913	15068
162	2930	15048
163	2948	15032
164	2966	15014
165	2986	15003
166	3003	14982
167	3020	14957
168	3037	14934
169	3053	14908
170	3071	14888
171	3090	14876
172	3108	14861
173	3125	14837
174	3141	14811
175	3159	14792
176	3179	14784
177	3198	14769
178	3216	14753
179	3232	14726
180	3249	14703
181	3265	14678
182	3284	14661
183	3298	14627
184	3315	14604
185	3332	14583
186	3350	14566
187	3366	14540
188	3382	14512
189	3400	14495
190	3416	14470
191	3435	14457
192	3454	14445
193	3473	14430
194	3491	14413
195	3508	14393
196	3524	14367
197	3540	14342
198	3558	14325
199	3575	14303
200	3593	14285
201	3610	14262
202	3627	14243
203	3644	14219
204	3660	14195
205	3678	14180
206	3696	14162
207	3717	14156
208	3739	14151
209	3759	14144
210	3778	14130
211	3792	14098
212	3809	14074
213	3827	14059
214	3847	14048
215	3868	14041
216	3885	14020
217	3903	14003
218	3918	13972
219	3934	13948
220	3949	13922
221	3962	13886
222	3981	13873
223	4000	13860
224	4022	13855
225	4040	13839
226	4059	13823
227	4078	13808
228	4093	13783
229	4110	13759
230	4126	13736
231	4144	13720
232	4164	13710
233	4182	13692
234	4199	13669
235	4217	13654
236	4234	13633
237	4251	13613
238	4269	13595
239	4290	13586
240	4309	13571
241	4326	13551
242	4343	13531
243	4361	13512
244	4376	13487
245	4394	13469
246	4411	13448
247	4428	13429
248	4445	13407
249	4462	13388
250	4477	13361
251	4494	13341
252	4511	13320
253	4530	13305
254	4545	13281
255	4564	13266
256	4583	13251
257	4604	13241
258	4622	13226
259	4639	13205
260	4655	13182
261	4674	13165
262	4687	13135
263	4706	13121
264	4726	13108
265	4748	13103
266	4766	13084
267	4782	13062
268	4800	13044
269	4816	13022
270	4835	13006
271	4852	12987
272	4868	12964
273	4885	12944
274	4902	12925
275	4920	12906
276	4940	12893
277	4958	12876
278	4975	12858
279	4996	12847
280	5014	12830
281	5032	12813
282	5050	12796
283	5068	12779
284	5089	12767
285	5107	12751
286	5125	12732
287	5141	12711
288	5156	12686
289	5174	12669
290	5193	12653
291	5209	12631
292	5227	12614
293	5245	12597
294	5263	12578
295	5281	12560
296	5299	12543
297	5320	12533
298	5338	12516
299	5353	12491
300	5370	12472
301	5390	12459
302	5404	12433
303	5422	12414
304	5439	12395
305	5458	12379
306	5476	12362
307	5495	12347
308	5515	12333
309	5531	12311
310	5551	12298
311	5568	12279
312	5586	12262
313	5604	12244
314	5624	12231
315	5642	12214
316	5662	12200
317	5682	12187
318	5699	12166
319	5720	12156
320	5743	12148
321	5762	12132
322	5782	12118
323	5800	12102
324	5817	12083
325	5835	12065
326	5852	12045
327	5870	12026
328	5890	12013
329	5911	12001
330	5928	11983
331	5947	11965
332	5964	11947
333	5981	11926
334	5998	11907
335	6014	11886
336	6033	11869
337	6053	11856
338	6073	11841
339	6090	11822
340	6106	11801
341	6125	11784
342	6139	11760
343	6155	11738
344	6175	11724
345	6194	11709
346	6212	11691
347	6231	11675
348	6247	11654
349	6266	11637
350	6284	11620
351	6301	11600
352	6317	11579
353	6332	11556
354	6350	11537
355	6368	11521
356	6386	11502
357	6404	11484
358	6421	11465
359	6437	11445
360	6454	11424
361	6471	11406
362	6487	11384
363	6505	11366
364	6523	11349
365	6542	11333
366	6557	11309
367	6575	11292
368	6593	11275
369	6612	11259
370	6629	11239
371	6645	11218
372	6662	11199
373	6683	11186
374	6702	11170
375	6724	11159
376	6743	11144
377	6759	11122
378	6776	11103
379	6796	11089
380	6817	11076
381	6835	11058
382	6853	11040
383	6873	11026
384	6888	11003
385	6905	10984
386	6927	10973
387	6941	10949
388	6958	10930
389	6976	10911
390	6993	10892
391	7010	10874
392	7028	10856
393	7043	10833
394	7062	10817
395	7083	10803
396	7101	10786
397	7118	10767
398	7134	10745
399	7150	10725
400	7168	10707
401	7184	10687
402	7203	10670
403	7218	10648
404	7234	10629
405	7250	10608
406	7270	10593
407	7288	10576
408	7307	10559
409	7325	10542
410	7342	10522
411	7358	10501
412	7373	10479
413	7389	10460
414	7405	10438
415	7424	10422
416	7440	10403
417	7458	10384
418	7474	10365
419	7490	10344
420	7507	10325
421	7527	10310
422	7544	10291
423	7561	10272
424	7581	10257
425	7596	10236
426	7615	10218
427	7635	10203
428	7654	10187
429	7673	10172
430	7694	10157
431	7710	10137
432	7726	10117
433	7744	10100
434	7765	10085
435	7785	10071
436	7804	10054
437	7822	10036
438	7838	10017
439	7856	9999
440	7869	9975
441	7887	9957
442	7903	9937
443	7920	9918
444	7935	9897
445	7951	9876
446	7968	9858
447	7988	9842
448	8008	9827
449	8026	9809
450	8046	9794
451	8066	9779
452	8083	9761
453	8099	9741
454	8118	9724
455	8138	9709
456	8156	9691
457	8174	9673
458	8191	9654
459	8206	9633
460	8222	9614
461	8240	9595
462	8258	9578
463	8276	9560
464	8292	9540
465	8308	9520
466	8323	9500
467	8340	9480
468	8356	9460
469	8375	9444
470	8390	9423
471	8408	9405
472	8426	9388
473	8445	9372
474	8460	9350
475	8479	9334
476	8500	9319
477	8516	9300
478	8531	9280
479	8548	9260
480	8566	9243
481	8584	9225
482	8602	9207
483	8619	9189
484	8640	9174
485	8664	9163
486	8677	9141
487	8694	9121
488	8709	9101
489	8726	9082
490	8743	9064
491	8762	9047
492	8781	9030
493	8796	9010
494	8814	8992
495	8835	8977
496	8852	8959
497	8868	8939
